name,category,location,description,visitors,image,latitude,longitude
Kompleks Pesanggrahan Ambarukmo,Bangunan,"Kab. Sleman, Prov. D.I. Yogyakarta",Pesanggarahan Arjopurno masa pemerintahan Sri Sultah Hamengku Buwono VI artinya keselamatan atau kesejahteraan tahun 186-. Pesanggarahan ini direnovasi dan disempurnakan oleh Pangeran Mangkubumi atas perintah Sri Sultan Hamengku Buwono VII tahun 1897. Kemudian namanya diganti menjadi Pesanggarahan Ambarukmo mengandung arti keluhuran atau kemuliaan yang harum. Pangeran Hangabehi (Kepala Kori) Kraton mendapat perintah dari Sultan Hamengku Buwono VII untuk mempersiapkan penindahannya ke pesanggarahan ini. Setelah Sultan Hamengku Buwono VII pensiun menetap di pesanggarahan ini bersama permaisuri GKR Kencana. Kompleks ini digunakan sebagai tempat Pendidikan Inspektur Polisi Republik Indonesia tahun 194--195-. Kemudian difungsikan sebagai Kantor Pemerintah Daerah Kabupaten Sleman saat KRT Pringgodiningrat sebagai Bupati Sleman sampai tahun 1964. Pendirian bangunan Hotel Ambarukmo di sisi timur tahun 1957 hingga sekarang.;,0,,-7.7823,110.402
Gedung Manulife Financial,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.78741,110.367
Gedung Perpustakaan Nasional Provinsi,Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.79079,110.366
Apotik Kimia Farma Cabang Yogyakarta (I),Bangunan,"Kota Yogyakarta, Prov. D.I. Yogyakarta",-,0,,-7.79055,110.366
Gereja Koinonia,Bangunan,"Kota Adm. Jakarta Timur, Prov. D.K.I. Jakarta",-,0,,-6.2907,106.907
Stasiun Kereta Api Manggarai,Bangunan,"Kota Adm. Jakarta Timur, Prov. D.K.I. Jakarta",-,0,,-6.21,106.85
Kantor Kodim 0505,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.21075,106.852
Gedung Joang 1945,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.18609,106.837
Gedung Fakultas Kedokteran Universitas Indonesia,Bangunan,"Kota Adm. Jakarta Pusat, Prov. D.K.I. Jakarta",-,0,,-6.19498,106.849
Gedung Candranaya,Bangunan,"Kota Adm. Jakarta Barat, Prov. D.K.I. Jakarta",-,0,,-6.14721,106.816
